School or area,Academic year,Subject,Measure,Value,Unit,Cohort definition,Status,Source URL,Source location,Checked on
Darell,2022/23,"Reading, writing and maths",Higher standard,22,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,"All pupils / Total; Reading, writing and maths",2026-09-22
Darell,2022/23,Reading,Expected standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Reading,2026-09-22
Darell,2022/23,Reading,Higher standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Reading,2026-09-22
Darell,2022/23,Writing,Expected standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Writing,2026-09-22
Darell,2022/23,Writing,Higher standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Writing,2026-09-22
Darell,2022/23,Maths,Expected standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Maths,2026-09-22
Darell,2022/23,Maths,Higher standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Maths,2026-09-22
Richmond upon Thames,2022/23,"Reading, writing and maths",Expected standard,74,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,"All pupils / Total; Reading, writing and maths",2026-09-22
Richmond upon Thames,2022/23,"Reading, writing and maths",Higher standard,18,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,"All pupils / Total; Reading, writing and maths",2026-09-22
Richmond upon Thames,2022/23,Reading,Expected standard,Not available,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,All pupils / Total; Reading,2026-09-22
