School,Current URN,School establishment number,Measure,Measurement date,Academic year,Year group,Value,Unit,Source URL
Barnes Primary School,102902,3182028,Pupils by curriculum year,2026-01,2025/26,Year 1,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Barnes Primary School,102902,3182028,Pupils by curriculum year,2026-01,2025/26,Year 2,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Barnes Primary School,102902,3182028,Pupils by curriculum year,2026-01,2025/26,Year 3,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Barnes Primary School,102902,3182028,Pupils by curriculum year,2026-01,2025/26,Year 4,57,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Barnes Primary School,102902,3182028,Pupils by curriculum year,2026-01,2025/26,Year 5,54,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Barnes Primary School,102902,3182028,Pupils by curriculum year,2026-01,2025/26,Year 6,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Bishop Perrin Church of England Primary School,102918,3183322,Pupils excluding nursery,2022-05,2021/22,,206,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Bishop Perrin Church of England Primary School,102918,3183322,Reported capacity excluding nursery,2022-05,2021/22,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Bishop Perrin Church of England Primary School,102918,3183322,Pupils excluding nursery,2023-05,2022/23,,205,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Bishop Perrin Church of England Primary School,102918,3183322,Reported capacity excluding nursery,2023-05,2022/23,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Bishop Perrin Church of England Primary School,102918,3183322,Pupils excluding nursery,2024-05,2023/24,,209,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Bishop Perrin Church of England Primary School,102918,3183322,Reported capacity excluding nursery,2024-05,2023/24,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Bishop Perrin Church of England Primary School,102918,3183322,Pupils excluding nursery,2025-05,2024/25,,210,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
